-> EPOCH :  46 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.311 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  47 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.303 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  48 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.296 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  49 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.290 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  50 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.283 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  51 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.278 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  52 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.271 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  53 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.266 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  54 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.259 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  55 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.254 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  56 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.249 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  57 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.243 , MEAN : 0.000 , STD : 1.000
